,genre_id,genre_name,genre_name_edited,top_genre_id,top_genre_name,unique_top_genre,everynoise_id,everynoise_name,discogs_genre_name,discogs_style_name
2461,Q108631385,final music,final,Q215911,serenade,0.0,,,,
2462,Q27103155,finnish classical music,finnish classical,Q1583807,art music,0.0,finnishclassical,finnish classical,,
2463,Q11894761,finnish folk music,finnish folk,Q43343,folk music,0.0,finnishfolk,finnish folk,,
2464,Q11894761,finnish folk music,finnish folk,Q205049,world music,0.0,finnishfolk,finnish folk,,
2465,Q28721502,finnish grime,finnish grime,Q9778,electronic music,0.0,,,,
2466,Q3785730,finnish hip hop,finnish hip hop,Q11401,hip hop music,0.0,suomirap,suomirap,,
2467,Q3785730,finnish hip hop,finnish hip hop,Q205049,world music,0.0,suomirap,suomirap,,
2468,Q2988851,finnish rock,finnish rock,Q11399,rock music,0.0,,,,
2469,Q2988851,finnish rock,finnish rock,Q205049,world music,0.0,,,,
2470,Q1762761,finnish tango,finnish tango,Q1762761,finnish tango,1.0,finnishtango,finnish tango,,
2471,Q20438522,fizeșu gherlii folk music,fizeșu gherlii folk,Q43343,folk music,0.0,,,,
2472,Q20438522,fizeșu gherlii folk music,fizeșu gherlii folk,Q205049,world music,0.0,,,,
2473,Q22947471,fkirettes,fkirettes,Q22947471,fkirettes,1.0,,,,
2474,Q9764,flamenco,flamenco,Q43343,folk music,0.0,canteflamenco,cante flamenco,,flamenco
2475,Q9764,flamenco,flamenco,Q9764,flamenco,0.0,canteflamenco,cante flamenco,,flamenco
2476,Q9764,flamenco,flamenco,Q205049,world music,0.0,canteflamenco,cante flamenco,,flamenco
2477,Q9260728,flamenco chill,flamenco chill,Q9260728,flamenco chill,1.0,,,,
2478,Q1426909,flamenco jazz,flamenco jazz,Q1426909,flamenco jazz,1.0,,,,
2479,Q108297241,flamenco pop,flamenco pop,Q37073,pop music,0.0,,,,
